make,year,engine_cc,mileage_km,doors,fuel_type,transmission,body_type,state,price
honda,2017,1400,90624,2,flex,manual,hatch,rs,62227.87
chevrolet,2013,1000,178550,4,flex,automatico,sedan,mg,36084.18
ford,2023,1000,49160,4,hibrido,automatico,picape,mg,98370.42
ford,2012,1600,164685,4,flex,manual,hatch,pe,26400.08
toyota,2025,3000,12403,4,flex,automatico,suv,rs,135352.34
honda,2023,1600,39125,4,flex,manual,sedan,pe,102822.34
ford,2018,1000,65373,4,flex,manual,picape,mg,69820.35
bmw,2012,1000,164292,4,flex,automatico,hatch,ba,70098.94
hyundai,2018,3000,85770,4,eletrico,automatico,hatch,rj,95625.83
ford,2022,1000,32975,4,gasolina,automatico,hatch,mg,103719.08
chevrolet,2011,1000,175783,4,flex,manual,sedan,ba,20450.26
toyota,2025,1600,38965,4,eletrico,automatico,hatch,mg,122371.52
volkswagen,2023,1600,45612,2,flex,manual,suv,ba,91989.32
hyundai,2011,1600,171432,4,flex,manual,suv,rs,12000.0
toyota,2011,1000,188588,4,flex,manual,suv,sp,19630.74
volkswagen,2015,1000,152990,4,gasolina,manual,sedan,pr,34427.67
honda,2012,3000,181869,4,flex,manual,hatch,mg,46657.39
honda,2025,1000,12894,4,flex,manual,sedan,pr,106055.41
ford,2022,1600,38295,4,gasolina,automatico,picape,mg,113392.75
bmw,2018,1600,106473,4,gasolina,manual,suv,rs,106229.03
honda,2013,1600,161902,4,gasolina,manual,suv,rs,39244.0
ford,2010,1400,205427,4,flex,manual,suv,ba,20170.91
hyundai,2013,1000,165527,4,flex,automatico,hatch,mg,40513.44
toyota,2010,1600,207743,4,flex,manual,hatch,rs,15750.17
honda,2023,2000,27971,4,flex,automatico,hatch,rs,121661.73
toyota,2014,2000,163760,4,eletrico,automatico,sedan,mg,49887.25
toyota,2025,1000,14963,4,flex,manual,hatch,ba,108871.79
bmw,2013,1000,187128,4,flex,automatico,sedan,ba,62692.95
honda,2017,2000,97662,4,gasolina,manual,suv,ba,71870.42
toyota,2025,1600,38039,4,flex,automatico,suv,ba,119959.1
bmw,2017,2000,110968,4,flex,automatico,suv,sp,120237.07
bmw,2016,1000,110228,4,diesel,manual,picape,mg,79640.93
honda,2012,1600,160741,4,diesel,manual,hatch,pe,31084.41
bmw,2010,1600,187194,4,gasolina,automatico,hatch,sp,68234.31
honda,2025,1600,18362,4,flex,automatico,suv,rs,123622.29
honda,2010,1400,199842,4,flex,manual,hatch,sp,17725.23
volkswagen,2025,1000,3394,4,gasolina,automatico,hatch,pe,112210.22
toyota,2021,1600,59634,4,flex,automatico,sedan,pe,94800.81
chevrolet,2020,1000,104134,4,flex,automatico,hatch,pe,85605.11
honda,2012,1400,193913,4,diesel,manual,sedan,ba,26455.5
toyota,2015,3000,138544,4,flex,automatico,sedan,rs,77595.2
hyundai,2016,1400,120570,4,gasolina,automatico,sedan,sp,63138.56
bmw,2015,2000,133800,4,flex,manual,suv,sp,85514.57
ford,2023,1000,45202,4,flex,automatico,sedan,mg,106388.75
honda,2023,1600,20658,4,flex,automatico,hatch,sp,115117.46
bmw,2015,3000,128139,4,diesel,automatico,hatch,rs,123807.33
bmw,2015,1000,106971,4,flex,manual,sedan,ba,78376.44
bmw,2022,1000,53988,4,flex,automatico,suv,mg,135014.66
bmw,2012,1400,177707,4,gasolina,manual,suv,sp,57586.23
bmw,2015,1000,124752,4,gasolina,automatico,suv,mg,89573.93
honda,2017,1600,131609,4,hibrido,manual,hatch,pr,65841.18
hyundai,2020,2000,53613,4,flex,automatico,sedan,mg,88597.37
chevrolet,2020,1400,50034,4,flex,automatico,sedan,pe,91270.24
volkswagen,2011,1000,183366,4,hibrido,manual,sedan,ba,16179.05
bmw,2014,1400,159706,4,gasolina,automatico,sedan,pe,80334.31
bmw,2023,1600,61258,4,flex,automatico,sedan,pr,143437.36
volkswagen,2010,1000,185116,4,flex,manual,sedan,pe,19836.03
hyundai,2021,1600,76180,4,diesel,automatico,suv,pr,94606.61
hyundai,2024,1600,23422,4,flex,automatico,hatch,mg,117714.13
honda,2025,1600,9410,4,gasolina,manual,suv,rs,115860.04
toyota,2010,1000,205254,2,flex,manual,hatch,ba,12000.0
ford,2014,1600,153784,4,flex,manual,hatch,rs,38685.69
ford,2021,1000,36354,4,gasolina,manual,picape,ba,91589.12
toyota,2022,1000,70148,4,flex,automatico,picape,ba,94953.78
honda,2025,2000,32701,4,flex,manual,hatch,pe,118569.26
ford,2012,1600,158616,4,flex,automatico,sedan,pe,38375.05
hyundai,2013,1000,161937,4,flex,automatico,hatch,rs,36913.35
volkswagen,2012,1000,175410,4,gasolina,manual,sedan,rj,23807.83
toyota,2025,1000,15910,4,diesel,automatico,suv,pr,107442.88
hyundai,2010,1000,183745,4,gasolina,automatico,picape,pe,13998.08
chevrolet,2025,1000,1925,4,flex,automatico,suv,pe,114207.51
honda,2010,1000,191616,4,flex,manual,sedan,pe,15870.2
toyota,2021,1400,77590,4,flex,manual,suv,mg,81395.81
ford,2021,1600,68154,4,eletrico,automatico,sedan,rs,91382.87
honda,2023,1600,30440,4,diesel,automatico,picape,rs,107060.57
volkswagen,2022,1600,59575,4,diesel,automatico,suv,pe,99987.04
honda,2023,1000,0,4,flex,automatico,sedan,mg,106730.71
honda,2014,3000,161231,4,flex,manual,sedan,pe,70642.96
volkswagen,2015,2000,105904,4,flex,automatico,hatch,pr,73887.5
bmw,2012,2000,162563,4,flex,manual,hatch,mg,78739.42
volkswagen,2021,2000,43204,4,flex,manual,suv,pe,102862.3
hyundai,2018,2000,76579,4,eletrico,automatico,sedan,ba,81519.05
honda,2014,1400,161412,4,flex,manual,sedan,rj,34476.38
volkswagen,2017,1000,100984,4,flex,automatico,sedan,ba,60818.05
bmw,2022,1600,53197,4,flex,automatico,suv,rj,144892.98
hyundai,2010,1600,191296,4,eletrico,manual,hatch,mg,17769.64
toyota,2023,1600,43155,4,flex,automatico,suv,ba,102969.97
volkswagen,2014,1400,145152,4,gasolina,automatico,suv,pr,48872.22
volkswagen,2024,1000,4755,4,eletrico,automatico,picape,ba,111093.72
honda,2012,1400,182944,4,flex,manual,sedan,rs,29700.47
hyundai,2021,2000,52593,4,gasolina,manual,hatch,rj,96865.81
toyota,2010,1600,168651,4,flex,automatico,sedan,rj,27761.45
chevrolet,2013,1400,149578,4,flex,manual,sedan,pe,41291.58
chevrolet,2024,1000,46511,4,diesel,manual,hatch,pr,94827.38
ford,2022,1400,60753,4,gasolina,automatico,suv,rj,98905.67
volkswagen,2014,2000,138770,4,flex,manual,sedan,rj,54618.37
volkswagen,2025,1600,6761,4,flex,automatico,suv,pe,120476.74
toyota,2016,1600,115175,4,flex,manual,hatch,pr,56076.99
bmw,2010,1400,223151,4,flex,automatico,suv,ba,59285.69
chevrolet,2025,1600,17729,2,flex,automatico,suv,mg,117751.98
ford,2012,1000,174450,4,flex,manual,suv,ba,22908.54
toyota,2025,1600,27454,4,flex,manual,suv,rs,115360.61
volkswagen,2011,1400,183581,4,diesel,automatico,suv,rs,42033.31
chevrolet,2018,1400,92114,4,flex,automatico,picape,rj,80009.92
hyundai,2019,1600,81054,4,flex,automatico,sedan,rs,87905.1
ford,2024,2000,22925,4,flex,manual,sedan,mg,116215.26
honda,2015,1000,131441,4,diesel,manual,hatch,rj,39417.9
chevrolet,2019,2000,94914,4,flex,automatico,hatch,pe,88840.88
ford,2012,1000,168779,4,flex,automatico,hatch,rs,33534.32
toyota,2017,1400,118989,4,flex,automatico,hatch,pe,70059.57
honda,2023,1000,34789,4,gasolina,automatico,hatch,sp,103864.19
ford,2017,1400,109179,4,flex,automatico,hatch,sp,71821.65
ford,2011,1400,150026,4,diesel,automatico,hatch,sp,35238.76
volkswagen,2025,1000,25744,4,hibrido,manual,picape,pe,105931.44
bmw,2024,1400,29197,4,gasolina,automatico,hatch,sp,142281.31
chevrolet,2015,2000,146970,4,gasolina,automatico,suv,ba,60854.96
volkswagen,2016,1000,76556,4,flex,manual,hatch,sp,64470.77
hyundai,2011,1600,211325,4,flex,automatico,picape,rj,31595.29
honda,2024,1400,21906,4,hibrido,automatico,suv,pr,114409.49
bmw,2020,1600,88622,4,flex,automatico,suv,ba,133387.32
ford,2019,1000,68401,4,flex,automatico,suv,pr,73435.68
volkswagen,2011,1000,189191,4,gasolina,automatico,hatch,rj,20574.07
bmw,2019,1000,68198,4,flex,manual,picape,rj,115833.86
hyundai,2010,1000,182643,4,flex,automatico,suv,mg,22833.35
chevrolet,2017,1000,136710,4,flex,automatico,suv,ba,59780.58
hyundai,2010,1600,189139,2,flex,automatico,suv,pr,22833.13
honda,2018,2000,99261,4,diesel,manual,sedan,sp,77349.33
toyota,2020,2000,85051,4,flex,manual,suv,rj,88964.65
volkswagen,2015,1600,139435,4,flex,automatico,hatch,sp,53312.28
honda,2025,1000,14256,4,flex,automatico,sedan,pr,114660.22
toyota,2016,1000,125474,4,gasolina,automatico,hatch,pe,56501.32
volkswagen,2022,1400,84051,4,gasolina,automatico,picape,ba,97472.24
honda,2019,1000,83135,4,flex,automatico,hatch,rs,72433.5
hyundai,2016,1400,123016,4,gasolina,automatico,hatch,pe,69607.34
honda,2019,1400,99759,4,flex,automatico,sedan,pe,84915.27
bmw,2012,1400,184582,4,eletrico,manual,suv,rs,61296.82
hyundai,2011,1400,197805,2,flex,automatico,suv,rj,28547.16
volkswagen,2018,2000,105580,4,gasolina,automatico,hatch,mg,81480.89
honda,2017,1600,90854,4,flex,manual,hatch,sp,63180.36
ford,2022,1400,72501,4,flex,manual,suv,rj,87707.7
volkswagen,2021,2000,42804,4,flex,manual,picape,mg,95728.05
honda,2019,3000,88539,4,diesel,automatico,suv,sp,109283.49
bmw,2016,1400,108685,4,flex,manual,sedan,pr,97230.34
toyota,2018,1400,95037,4,eletrico,automatico,picape,pe,81217.72
toyota,2013,1400,160931,4,flex,automatico,sedan,pe,46009.98
ford,2022,2000,52820,4,flex,automatico,sedan,rs,102490.36
volkswagen,2013,2000,162328,4,flex,automatico,sedan,mg,50943.34
bmw,2010,1000,216205,4,diesel,manual,sedan,sp,49421.69
honda,2017,1400,114803,4,flex,automatico,suv,rj,62788.23
honda,2025,1600,8337,4,diesel,automatico,sedan,sp,126632.22
toyota,2023,1400,50461,2,eletrico,automatico,sedan,rj,117343.9
bmw,2025,1000,29842,4,eletrico,manual,hatch,pe,145332.78
hyundai,2023,2000,17585,4,flex,automatico,hatch,rs,124932.4
ford,2021,1600,68961,4,gasolina,automatico,sedan,rs,97447.54
toyota,2012,2000,178517,4,gasolina,automatico,hatch,sp,49062.11
toyota,2016,2000,115536,4,flex,automatico,hatch,sp,68080.33
ford,2024,1600,44635,4,gasolina,automatico,suv,rj,117484.07
volkswagen,2021,1400,57749,4,flex,automatico,suv,rj,98909.59
honda,2011,1600,181883,4,flex,automatico,suv,mg,35867.11
volkswagen,2011,1000,177403,4,flex,automatico,sedan,pe,34469.59
bmw,2025,1600,12233,4,flex,manual,suv,mg,147171.13
hyundai,2016,1000,103555,4,flex,manual,picape,mg,52531.46
chevrolet,2024,1600,2399,4,flex,manual,suv,sp,112317.46
chevrolet,2015,1000,155917,4,gasolina,manual,suv,ba,35964.4
chevrolet,2012,1000,155295,4,flex,manual,sedan,ba,28840.41
ford,2018,1000,81129,4,flex,automatico,picape,ba,65236.0
toyota,2019,1000,51699,4,flex,manual,hatch,ba,79979.92
hyundai,2024,1600,14415,4,flex,automatico,hatch,mg,118270.94
volkswagen,2023,1600,16153,4,gasolina,manual,sedan,sp,102672.59
honda,2022,1400,72630,4,flex,manual,hatch,ba,85733.63
chevrolet,2015,1000,147147,2,gasolina,manual,picape,rs,41255.05
volkswagen,2019,1000,73677,4,flex,manual,sedan,pr,74889.75
chevrolet,2019,1000,117786,4,gasolina,automatico,sedan,rs,75570.79
hyundai,2015,1000,146726,4,flex,automatico,suv,sp,46963.41
chevrolet,2010,2000,187127,2,flex,manual,sedan,sp,21700.75
honda,2013,1000,118508,4,gasolina,automatico,hatch,pr,49008.29
bmw,2019,1400,118364,4,flex,automatico,suv,rj,108933.66
bmw,2015,1000,111156,4,gasolina,automatico,suv,rj,91126.15
hyundai,2024,1000,0,4,gasolina,automatico,sedan,rj,113618.77
bmw,2015,1400,147338,4,flex,automatico,suv,mg,91759.61
ford,2020,1600,108596,2,flex,automatico,hatch,rj,90201.95
toyota,2021,1000,80764,4,flex,automatico,hatch,pe,81070.59
ford,2014,1000,152458,4,eletrico,manual,hatch,mg,27575.5
volkswagen,2010,1400,200921,4,gasolina,automatico,sedan,mg,21824.61
ford,2017,1000,120801,4,flex,automatico,suv,rj,72387.49
volkswagen,2014,1000,155383,4,flex,automatico,suv,rj,54803.42
volkswagen,2021,3000,64217,4,flex,automatico,sedan,pr,123023.34
toyota,2021,1600,61563,4,diesel,automatico,sedan,ba,96500.64
honda,2021,1600,59061,4,flex,manual,suv,pr,80930.27
hyundai,2014,1400,132690,4,flex,automatico,hatch,mg,41181.3
toyota,2016,1400,115789,4,diesel,automatico,hatch,pr,61361.46
hyundai,2013,1400,130605,2,flex,automatico,picape,mg,47718.88
bmw,2015,1600,130524,4,flex,automatico,suv,sp,101624.53
bmw,2022,1600,33171,4,hibrido,automatico,picape,mg,145563.38
ford,2025,1000,0,2,gasolina,manual,sedan,mg,110637.03
volkswagen,2013,1400,158698,4,flex,automatico,suv,pr,40046.08
chevrolet,2023,1400,56880,2,flex,automatico,hatch,ba,99964.1
chevrolet,2024,2000,37774,4,flex,automatico,hatch,sp,120604.54
hyundai,2012,1600,144442,4,flex,manual,sedan,rs,40018.95
volkswagen,2016,1400,105155,4,diesel,automatico,sedan,rs,67986.16
hyundai,2017,1000,122111,4,flex,automatico,hatch,ba,58010.36
toyota,2013,1600,141262,4,gasolina,automatico,hatch,rs,52764.04
honda,2025,1000,8630,4,eletrico,automatico,hatch,sp,118335.05
toyota,2022,1400,56250,4,flex,automatico,suv,rj,95009.17
volkswagen,2011,1000,165474,4,flex,manual,sedan,sp,17757.3
volkswagen,2021,1600,61580,2,flex,manual,hatch,pr,92905.48
honda,2019,1000,63989,4,eletrico,automatico,hatch,pe,79729.11
hyundai,2023,1400,26979,4,diesel,automatico,hatch,mg,117198.89
ford,2012,2000,172796,4,flex,manual,suv,mg,39586.25
ford,2010,1000,168105,4,gasolina,manual,hatch,pr,14351.09
honda,2017,1400,114607,4,flex,manual,suv,pr,61057.92
ford,2024,1400,23705,4,eletrico,automatico,hatch,pe,114561.17
chevrolet,2012,1000,176287,4,flex,manual,hatch,pe,20915.0
ford,2021,1600,63358,4,flex,automatico,suv,mg,92633.36
ford,2019,1000,104462,4,diesel,automatico,suv,pe,78337.65
ford,2016,1400,121878,4,flex,manual,hatch,pe,59744.67
chevrolet,2019,1600,77558,2,flex,automatico,suv,pe,89085.21
hyundai,2014,1600,145834,4,flex,manual,sedan,ba,52901.49
ford,2019,1600,92149,4,flex,automatico,suv,rj,81168.78
bmw,2014,1000,144732,2,flex,manual,suv,pe,81661.55
chevrolet,2023,1000,36608,4,eletrico,automatico,suv,rj,98504.19
honda,2016,1600,109470,4,flex,automatico,picape,rj,62716.07
toyota,2024,1400,14056,4,flex,manual,hatch,pr,98891.81
honda,2018,2000,74960,4,gasolina,manual,suv,pe,76527.02
toyota,2021,2000,86243,4,flex,automatico,sedan,mg,96044.94
honda,2014,2000,125342,2,flex,manual,hatch,ba,55828.39
bmw,2010,1400,181606,4,gasolina,automatico,hatch,mg,63778.55
toyota,2019,1400,73223,4,diesel,automatico,hatch,pe,78351.68
toyota,2019,1600,97423,4,gasolina,automatico,suv,mg,81122.92
volkswagen,2010,1400,187575,2,gasolina,automatico,sedan,pe,24806.44
toyota,2024,1000,42716,4,flex,automatico,sedan,ba,97712.69
toyota,2011,2000,169897,4,eletrico,automatico,hatch,sp,36110.72
volkswagen,2025,2000,16184,4,flex,automatico,sedan,ba,123218.33
ford,2023,1400,23469,4,gasolina,manual,picape,sp,108947.78
ford,2015,1000,164177,4,flex,manual,sedan,rs,40830.7
volkswagen,2025,1400,0,4,eletrico,automatico,suv,sp,125610.84
chevrolet,2018,2000,100647,4,gasolina,automatico,suv,rj,75409.77
toyota,2017,2000,117506,4,gasolina,automatico,suv,rj,81845.17
toyota,2022,1000,54206,4,flex,manual,sedan,ba,94374.61
volkswagen,2014,1000,141220,4,flex,automatico,suv,rj,36825.28
volkswagen,2010,2000,190052,4,gasolina,manual,sedan,rj,21965.62
chevrolet,2025,1400,12657,2,gasolina,manual,suv,rs,114880.28
bmw,2022,1400,45794,4,flex,automatico,hatch,rj,140152.84
ford,2016,3000,134458,4,hibrido,manual,hatch,pr,69438.83
honda,2025,1000,45157,4,diesel,automatico,hatch,pr,109198.95
bmw,2024,1600,15637,4,flex,manual,suv,pr,141867.54
hyundai,2014,1000,123452,4,diesel,automatico,sedan,sp,50034.29
ford,2015,1400,130675,4,flex,automatico,hatch,ba,63684.64
toyota,2022,2000,86695,4,flex,manual,hatch,ba,91140.54
hyundai,2016,1400,107944,4,flex,manual,picape,mg,62612.5
bmw,2012,3000,192586,2,flex,automatico,suv,rs,85203.74
volkswagen,2021,1600,85165,4,gasolina,automatico,sedan,pr,89687.11
chevrolet,2019,1400,75696,4,flex,automatico,suv,pr,88038.57
ford,2025,1000,20534,4,gasolina,manual,sedan,rj,111029.58
chevrolet,2012,1400,192425,4,gasolina,automatico,sedan,pr,39193.3
hyundai,2014,1400,138313,2,gasolina,automatico,picape,rj,45474.06
ford,2015,1000,128946,4,flex,automatico,hatch,rj,50828.35
bmw,2018,1400,87274,4,diesel,automatico,sedan,mg,116823.84
toyota,2022,1400,32778,4,flex,manual,sedan,sp,96091.01
honda,2023,1600,26260,4,flex,manual,sedan,rj,98392.54
chevrolet,2021,1600,41640,4,flex,automatico,sedan,rj,102745.59
chevrolet,2014,1600,144511,2,flex,automatico,sedan,ba,49949.31
honda,2024,1000,12450,4,diesel,manual,hatch,mg,112105.12
chevrolet,2010,1000,195506,4,flex,automatico,sedan,rj,28398.31
chevrolet,2023,1600,12661,4,gasolina,manual,hatch,rs,108821.34
ford,2023,1400,40963,4,flex,manual,hatch,sp,105960.58
ford,2023,1000,48502,4,flex,manual,hatch,rs,93548.66
honda,2013,2000,126093,4,hibrido,manual,suv,pr,52413.24
hyundai,2014,1600,149610,4,gasolina,automatico,sedan,sp,60147.1
toyota,2021,1400,78415,4,flex,automatico,suv,pr,93765.24
bmw,2025,1000,0,4,flex,manual,suv,ba,143224.06
bmw,2019,1600,109088,4,flex,manual,suv,pe,99813.69
hyundai,2019,1600,90285,4,flex,automatico,sedan,pe,83741.58
chevrolet,2025,1600,1424,4,gasolina,manual,sedan,pe,120603.52
toyota,2014,1600,143163,4,gasolina,automatico,sedan,rj,58453.72
honda,2016,2000,128374,4,flex,manual,suv,mg,64265.73
hyundai,2013,1400,157140,4,eletrico,automatico,sedan,rs,42022.5
honda,2010,1000,200081,4,flex,manual,suv,pr,12000.0
ford,2023,1600,22189,4,flex,manual,suv,rj,101895.57
chevrolet,2023,1600,38540,4,flex,manual,hatch,pe,100397.28
volkswagen,2014,1600,122794,4,gasolina,manual,hatch,rs,47216.26
honda,2016,1000,118331,4,flex,automatico,suv,rs,62343.13
hyundai,2019,1000,70441,4,flex,automatico,sedan,ba,89862.23
chevrolet,2019,2000,72967,4,flex,manual,hatch,ba,84172.6
toyota,2015,1600,150541,2,flex,manual,suv,pe,48035.19
hyundai,2014,2000,160369,4,diesel,automatico,hatch,pr,54648.54
ford,2013,1600,165137,4,flex,automatico,picape,pe,46551.37
bmw,2011,1600,163615,2,flex,automatico,suv,pe,68016.28
toyota,2013,1600,151253,4,gasolina,automatico,suv,rj,48613.04
honda,2024,2000,42196,4,eletrico,automatico,hatch,mg,120924.66
honda,2019,1600,86125,4,eletrico,automatico,hatch,pe,85829.68
toyota,2019,1600,118789,4,flex,automatico,sedan,pr,82169.36
honda,2012,1000,173899,2,flex,automatico,hatch,rs,35083.89
hyundai,2019,1400,86880,4,flex,manual,sedan,rs,65408.52
chevrolet,2025,1600,7363,4,flex,manual,sedan,sp,118779.9
honda,2010,1000,194003,4,eletrico,manual,hatch,pe,12000.0
ford,2017,1000,105712,4,flex,automatico,hatch,rj,60164.0
chevrolet,2014,1400,154621,4,flex,automatico,suv,sp,44084.59
hyundai,2022,1000,62350,4,flex,automatico,hatch,ba,96815.21
volkswagen,2013,1000,144210,4,flex,manual,hatch,mg,32755.63
honda,2025,1400,0,4,gasolina,automatico,suv,pr,113890.16
honda,2017,2000,80456,4,flex,automatico,picape,pe,83821.79
ford,2025,1400,19619,4,flex,manual,sedan,rs,104159.11
hyundai,2016,1000,103449,4,flex,automatico,hatch,rj,62181.76
ford,2011,1000,147706,4,flex,automatico,sedan,rs,33536.59
bmw,2010,1600,197828,4,flex,automatico,picape,pe,66953.69
hyundai,2021,1400,97394,4,gasolina,automatico,suv,ba,98599.32
toyota,2025,2000,11908,4,flex,automatico,suv,sp,120890.42
toyota,2025,1600,24577,4,gasolina,automatico,sedan,pe,120751.08
toyota,2020,1600,73227,4,eletrico,automatico,sedan,sp,89834.27
ford,2013,1000,154516,4,eletrico,automatico,hatch,pr,42491.35
toyota,2017,1600,121786,2,eletrico,manual,suv,rj,63510.44
hyundai,2021,1000,55645,4,flex,automatico,suv,ba,89390.52
toyota,2011,2000,184010,4,flex,manual,picape,rj,28693.99
volkswagen,2012,1600,172825,4,flex,manual,hatch,pr,26694.0
toyota,2021,1400,49978,4,diesel,automatico,hatch,ba,101742.61
honda,2010,1000,206880,4,hibrido,automatico,sedan,ba,21264.02
bmw,2010,1000,189375,4,diesel,automatico,suv,sp,61182.59
ford,2022,1600,36663,4,flex,manual,suv,sp,96148.57
chevrolet,2012,1000,176047,4,eletrico,manual,hatch,sp,21308.77
bmw,2020,1600,58522,4,flex,manual,hatch,rs,115030.12
volkswagen,2014,1000,144422,4,flex,manual,sedan,mg,40131.29
ford,2021,1600,59863,4,flex,automatico,sedan,pe,92521.58
hyundai,2012,2000,184288,4,flex,manual,suv,sp,44600.12
ford,2010,1600,199120,4,flex,automatico,sedan,mg,20793.79
honda,2010,1600,191624,4,flex,manual,suv,mg,21824.7
hyundai,2017,1000,120266,4,flex,automatico,sedan,rj,71294.37
bmw,2019,1000,104853,4,gasolina,manual,suv,pr,104767.5
bmw,2020,1600,80367,4,diesel,manual,sedan,rs,118023.32
toyota,2021,1400,60155,4,gasolina,manual,suv,mg,82434.33
hyundai,2022,1400,28322,4,flex,automatico,hatch,pe,97642.85
honda,2022,1000,32023,4,diesel,automatico,sedan,rs,103046.8
toyota,2021,1000,55421,4,eletrico,automatico,hatch,rj,98717.59
toyota,2024,1000,14857,4,flex,automatico,sedan,sp,108577.2
ford,2023,2000,33195,4,flex,manual,sedan,ba,101825.44
bmw,2011,1000,180849,4,flex,automatico,hatch,mg,50081.8
toyota,2022,1600,55945,4,flex,automatico,picape,pr,97904.43
volkswagen,2012,1000,166942,2,gasolina,manual,hatch,ba,25390.42
volkswagen,2011,1600,187297,4,diesel,manual,suv,rj,33601.07
bmw,2012,1400,168967,4,flex,manual,picape,rs,68820.62
volkswagen,2016,2000,90368,2,diesel,manual,hatch,pe,68970.23
ford,2010,2000,177909,4,diesel,automatico,suv,sp,33313.05
honda,2019,1400,81838,4,eletrico,manual,hatch,rs,72108.47
chevrolet,2017,2000,89854,4,flex,manual,hatch,pr,79050.14
toyota,2022,3000,56998,2,eletrico,manual,sedan,mg,112453.99
chevrolet,2019,2000,106961,4,flex,automatico,picape,pr,75942.85
honda,2019,2000,102281,4,flex,automatico,hatch,rs,83790.15
honda,2019,1000,80798,2,flex,manual,sedan,rs,66089.22
ford,2023,1600,58360,4,flex,manual,sedan,ba,96214.68
volkswagen,2011,1000,182230,2,gasolina,manual,suv,pr,21980.05
volkswagen,2012,1000,162943,4,flex,automatico,hatch,pr,34021.33
honda,2018,3000,86798,4,flex,manual,suv,pr,88595.97
ford,2016,1400,115462,4,flex,automatico,suv,sp,71048.07
ford,2013,1600,150177,4,gasolina,automatico,suv,pe,44691.14
bmw,2019,2000,86556,4,flex,automatico,picape,rs,133837.6
hyundai,2014,2000,146408,4,diesel,manual,suv,rj,46682.26
toyota,2011,3000,180045,4,flex,automatico,hatch,sp,51939.24
hyundai,2022,1000,54554,4,flex,automatico,sedan,sp,94410.88
volkswagen,2020,1000,89859,4,flex,manual,sedan,sp,74138.25
honda,2022,1400,62243,4,flex,manual,sedan,ba,93686.51
bmw,2017,1000,85726,4,flex,manual,sedan,pe,97810.28
chevrolet,2013,1000,117691,4,flex,manual,sedan,pe,34080.76
volkswagen,2018,1400,110014,4,hibrido,manual,sedan,rj,60683.33
toyota,2014,1600,123496,4,gasolina,automatico,picape,pr,69191.46
ford,2022,1600,44628,4,flex,automatico,hatch,ba,102085.88
honda,2018,1400,78448,4,flex,automatico,picape,rs,82528.86
volkswagen,2013,1600,128970,4,diesel,manual,sedan,mg,35316.29
chevrolet,2019,1000,92121,4,flex,automatico,suv,ba,75283.79
toyota,2014,1000,155387,4,flex,manual,suv,mg,36055.95
toyota,2018,1600,87352,4,gasolina,automatico,sedan,rs,82461.28
bmw,2017,1600,69134,4,gasolina,manual,sedan,rj,91717.63
volkswagen,2025,1600,3806,4,flex,manual,sedan,pe,116959.8
chevrolet,2012,1000,173877,4,flex,automatico,sedan,mg,27169.74
toyota,2010,2000,169816,2,flex,manual,picape,sp,30149.33
honda,2012,1600,170750,4,gasolina,automatico,suv,ba,35405.85
toyota,2025,1600,11770,4,flex,automatico,hatch,mg,118657.09
chevrolet,2013,1600,164689,4,flex,automatico,hatch,rs,44628.51
ford,2011,2000,181793,4,flex,automatico,sedan,pe,33969.4
ford,2010,1600,177403,4,flex,automatico,hatch,sp,28211.88
bmw,2016,1600,137948,4,eletrico,manual,suv,mg,84540.92
volkswagen,2025,3000,9622,4,diesel,automatico,hatch,pe,130890.85
chevrolet,2017,1600,107590,4,gasolina,automatico,sedan,rs,77651.29
bmw,2016,1400,106000,4,flex,manual,hatch,rj,86419.76
hyundai,2023,1600,29350,4,flex,manual,sedan,rs,102404.1
toyota,2025,1400,0,4,flex,automatico,suv,rj,126064.46
hyundai,2014,1000,141405,4,flex,automatico,sedan,pe,43714.53
toyota,2021,1600,85675,4,hibrido,automatico,picape,pe,89722.92
ford,2010,2000,171421,4,flex,manual,suv,sp,29418.04
bmw,2016,2000,95796,4,flex,automatico,sedan,rs,115220.27
ford,2022,1400,70067,4,flex,manual,hatch,pr,84443.37
honda,2016,1400,116860,4,gasolina,automatico,suv,ba,63520.26
hyundai,2018,1000,85963,4,flex,automatico,picape,pr,64443.08
hyundai,2012,3000,183598,4,flex,manual,suv,pr,45494.29
ford,2018,3000,86915,4,flex,automatico,hatch,pr,97133.77
honda,2023,1600,63390,4,diesel,automatico,picape,ba,101918.38
toyota,2010,2000,202168,4,flex,automatico,hatch,pr,29389.84
bmw,2010,1600,184681,4,eletrico,automatico,suv,rj,57456.72
honda,2023,1600,68359,4,diesel,automatico,picape,rs,105831.54
bmw,2013,1000,146914,4,flex,automatico,hatch,pe,81741.37
hyundai,2025,1400,23131,4,gasolina,manual,picape,sp,105344.63
bmw,2018,1600,100489,2,flex,manual,sedan,pr,102013.29
hyundai,2015,1600,151526,4,hibrido,manual,picape,pe,51483.83
honda,2022,1400,71422,4,flex,automatico,hatch,pr,104147.15
hyundai,2020,2000,72480,4,flex,automatico,picape,sp,88662.05
volkswagen,2012,1000,156698,4,flex,manual,hatch,sp,26651.38
hyundai,2010,1400,198899,4,flex,automatico,suv,pr,26380.8
ford,2013,1600,145834,4,hibrido,automatico,sedan,rj,48314.62
honda,2021,1600,90200,4,flex,automatico,sedan,pe,80786.04
